layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP322,4204265,,all,22,,,,2-digit postcode area,2018,USA,US,,,,,,,0,27890,"[-78.4271,38.5433]","[-79.3131,37.6086,-76.2368,39.466]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP323,4138729,,all,23,,,,2-digit postcode area,2018,USA,US,,,,,,,0,41075,"[-77.6489,37.3628]","[-78.9038,36.541,-75.2424,38.1756]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP324,4073193,,all,24,,,,2-digit postcode area,2018,USA,US,,,,,,,0,67841,"[-79.7332,37.6158]","[-83.6754,36.5372,-78.35,38.679]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP325,4007657,,all,25,,,,2-digit postcode area,2018,USA,US,,,,,,,0,28262,"[-81.9185,38.2319]","[-82.6446,37.4253,-77.7195,39.696]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP326,3942121,,all,26,,,,2-digit postcode area,2018,USA,US,,,,,,,0,40858,"[-80.4057,39.3576]","[-81.8403,38.0528,-78.339,40.6388]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP327,3876585,,all,27,,,,2-digit postcode area,2018,USA,US,,,,,,,0,68331,"[-78.4062,35.8302]","[-80.9736,35.0663,-75.461,36.5707]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP328,3811049,,all,28,,,,2-digit postcode area,2018,USA,US,,,,,,,0,88180,"[-82.1795,35.2269]","[-84.3218,33.8344,-76.0389,36.5881]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP329,6301417,,all,29,,,,2-digit postcode area,2018,USA,US,,,,,,,0,97074,"[-80.568,33.6408]","[-83.3539,32.0374,-78.5472,35.2155]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP330,272105,,all,30,,,,2-digit postcode area,2018,USA,US,,,,,,,0,81597,"[-84.5241,33.4068]","[-85.6052,31.7826,-81.3892,35.0013]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP331,141033,,all,31,,,,2-digit postcode area,2018,USA,US,,,,,,,0,88372,"[-83.3611,31.9329]","[-85.1921,30.3558,-80.8403,33.9869]"
