layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10M,16990953,,all,0M,"Rochelle, IL micro area",,,metropolitan area,2019,USA,US,,,,,,,1,2664,"[-89.3136,42.0449]","[-89.6885,41.8855,-88.9389,42.2042]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10N,17187561,,all,0N,"Rockford, IL metro area",,,metropolitan area,2019,USA,US,,,,,,,1,2809,"[-89.0517,42.326]","[-89.4014,42.1503,-88.7054,42.5006]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10P,17253097,,all,0P,"Rockingham, NC micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1520,"[-79.7277,34.9948]","[-80.0757,34.8052,-79.4588,35.1839]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10Q,13058793,,all,0Q,"Rock Springs, WY micro area",,,metropolitan area,2019,USA,US,,,,,,,1,36413,"[-108.9887,41.6372]","[-110.0544,40.9973,-107.5038,42.2707]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10R,13124329,,all,0R,"Rocky Mount, NC metro area",,,metropolitan area,2019,USA,US,,,,,,,1,3365,"[-77.7743,35.9394]","[-78.2572,35.6749,-77.3424,36.2026]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10S,13255401,,all,0S,"Rolla, MO micro area",,,metropolitan area,2019,USA,US,,,,,,,1,2216,"[-91.7751,37.878]","[-92.0294,37.5989,-91.525,38.1535]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10T,13320937,,all,0T,"Rome, GA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,1627,"[-85.1945,34.3331]","[-85.4622,34.0791,-85.0052,34.5875]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10V,13386473,,all,0V,"Roseburg, OR micro area",,,metropolitan area,2019,USA,US,,,,,,,1,18010,"[-122.8901,43.3253]","[-124.2194,42.6993,-121.9742,43.9448]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10W,13452009,,all,0W,"Roswell, NM micro area",,,metropolitan area,2019,USA,US,,,,,,,1,18902,"[-104.3257,33.3081]","[-105.354,32.5188,-103.5098,34.0888]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10X,61883113,,all,0X,"San Francisco, CA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,8211,"[-121.8863,37.7573]","[-123.108,37.107,-121.4692,38.3212]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10Y,13583081,,all,0Y,"Russellville, AR micro area",,,metropolitan area,2019,USA,US,,,,,,,1,5652,"[-93.0668,35.2376]","[-93.7103,34.7434,-92.8098,35.7288]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC10Z,13648617,,all,0Z,"Ruston, LA micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1456,"[-92.6415,32.6065]","[-92.8814,32.4528,-92.4151,32.76]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC110,13714153,,all,10,"Rutland, VT micro area",,,metropolitan area,2019,USA,US,,,,,,,1,3379,"[-73.0283,43.5757]","[-73.4312,43.2916,-72.7009,43.8581]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1100,1852137,,all,100,"Jasper, AL micro area",,,metropolitan area,2019,USA,US,,,,,,,1,2517,"[-87.2766,33.7595]","[-87.6361,33.5129,-86.9536,34.0053]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1101,5849833,,all,101,"Poughkeepsie, NY metro area",,,metropolitan area,2019,USA,US,,,,,,,1,5759,"[-73.7369,41.6136]","[-74.7626,41.143,-73.4873,42.0809]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1102,82665,,all,102,"Spartanburg, SC metro area",,,metropolitan area,2019,USA,US,,,,,,,1,2594,"[-81.9803,34.8886]","[-82.2266,34.5802,-81.7116,35.1962]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1103,1786601,,all,103,"Granbury, TX micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1344,"[-97.8168,32.3961]","[-98.0685,32.2335,-97.6153,32.5588]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1104,5980905,,all,104,"Scottsburg, IN micro area",,,metropolitan area,2019,USA,US,,,,,,,1,640,"[-85.7483,38.6973]","[-85.8884,38.5613,-85.57,38.8318]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1105,6505193,,all,105,"Union, SC micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1629,"[-81.6396,34.6789]","[-81.854,34.445,-81.4159,34.913]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1106,2966249,,all,106,"Minden, LA micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1897,"[-93.3158,32.715]","[-93.5308,32.4099,-93.1464,33.0187]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1107,3818217,,all,107,"Pearsall, TX micro area",,,metropolitan area,2019,USA,US,,,,,,,1,3366,"[-99.1075,28.8663]","[-99.4139,28.6406,-98.8008,29.0915]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC1108,5915369,,all,108,"Rockport, TX micro area",,,metropolitan area,2019,USA,US,,,,,,,1,822,"[-96.8753,28.221]","[-97.2584,27.8394,-96.7905,28.3192]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC111,60506857,,all,11,"Sacramento, CA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,17627,"[-121.1676,38.7046]","[-122.422,38.0207,-119.8772,39.3165]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC112,21709545,,all,12,"San Jose, CA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,8736,"[-121.3785,36.8434]","[-122.2027,36.1968,-120.5966,37.4846]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC113,13779689,,all,13,"Safford, AZ micro area",,,metropolitan area,2019,USA,US,,,,,,,1,14341,"[-109.9596,33.041]","[-110.4581,32.4248,-109.1142,33.6528]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC114,13845225,,all,14,"Saginaw, MI metro area",,,metropolitan area,2019,USA,US,,,,,,,1,2906,"[-84.0339,43.3487]","[-84.37,43.1285,-83.6952,43.5689]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC115,13910761,,all,15,"St. Cloud, MN metro area",,,metropolitan area,2019,USA,US,,,,,,,1,6675,"[-94.6388,45.5545]","[-95.1399,45.2823,-93.7594,45.8243]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC116,13976297,,all,16,"St. George, UT metro area",,,metropolitan area,2019,USA,US,,,,,,,1,7922,"[-113.4764,37.3111]","[-114.0529,37,-112.8991,37.6183]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC117,14041833,,all,17,"St. Joseph, MO metro area",,,metropolitan area,2019,USA,US,,,,,,,1,5658,"[-94.7727,39.8301]","[-95.34,39.5302,-94.2035,40.1301]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC118,14107369,,all,18,"St. Louis, MO metro area",,,metropolitan area,2019,USA,US,,,,,,,1,26863,"[-90.3359,38.7665]","[-91.4186,38.0035,-89.1383,39.5233]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC119,14172905,,all,19,"St. Marys, GA micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1957,"[-81.7026,30.9392]","[-81.937,30.7087,-81.402,31.1696]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC11A,14303977,,all,1A,"Salem, OH micro area",,,metropolitan area,2019,USA,US,,,,,,,1,1830,"[-80.8031,40.7567]","[-81.0874,40.5825,-80.5189,40.9302]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC11B,14369513,,all,1B,"Salem, OR metro area",,,metropolitan area,2019,USA,US,,,,,,,1,7065,"[-123.1488,44.9851]","[-123.7258,44.6834,-121.7333,45.2852]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC11C,14435049,,all,1C,"Salina, KS micro area",,,metropolitan area,2019,USA,US,,,,,,,1,4811,"[-97.6501,38.9593]","[-97.9316,38.6089,-97.3698,39.3068]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC11D,14500585,,all,1D,"Salinas, CA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,10640,"[-121.494,36.3564]","[-121.9788,35.789,-120.214,36.9197]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC11E,14566121,,all,1E,"Salisbury, MD metro area",,,metropolitan area,2019,USA,US,,,,,,,1,7022,"[-75.4739,38.4448]","[-76.0602,37.9121,-75.0487,38.9619]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC11F,14631657,,all,1F,"Salt Lake City, UT metro area",,,metropolitan area,2019,USA,US,,,,,,,1,27570,"[-112.9244,40.4929]","[-114.047,39.9037,-111.5532,41.0769]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC11G,10502889,,all,1G,"San Angelo, TX metro area",,,metropolitan area,2019,USA,US,,,,,,,1,10699,"[-100.751,31.5845]","[-101.2748,31.0794,-100.1112,32.0873]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC11H,10568425,,all,1H,"San Antonio, TX metro area",,,metropolitan area,2019,USA,US,,,,,,,1,22006,"[-98.6257,29.3788]","[-99.6033,28.6127,-97.631,30.139]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC11J,61620969,,all,1J,"San Diego, CA metro area",,,metropolitan area,2019,USA,US,,,,,,,1,13128,"[-116.6942,33.0212]","[-117.5962,32.5343,-116.0809,33.505]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC11K,10633961,,all,1K,"Sandpoint, ID micro area",,,metropolitan area,2019,USA,US,,,,,,,1,7452,"[-116.5421,48.371]","[-117.0421,47.8901,-116.0487,48.8474]"
loc1,locality,1,mapbox.boundaries-loc1-v3,boundaries_locality_1,mapbox.boundaries-locPoints-v3,points_locality_1,USLOC11M,10699497,,all,1M,"Sandusky, OH micro area",,,metropolitan area,2019,USA,US,,,,,,,1,879,"[-82.6713,41.3813]","[-82.9033,41.2836,-82.3423,41.6242]"
